code_commune,department_code,name,centroid_lon,centroid_lat,address_count,postal_codes,min_lon,min_lat,max_lon,max_lat
80208,80,Conteville,2.072586836879434,50.177489148936175,141,80370,2.06137,50.171654,2.079889,50.183919
80210,80,Contre,2.0961435909090915,49.748248833333335,66,80160,2.090656,49.745969,2.100247,49.751955
80211,80,Conty,2.1526690908152735,49.74231147471625,969,80160,2.138274,49.724683,2.164928,49.772798
80212,80,Corbie,2.5063200452243106,49.91059319138925,2764,80800,2.474305,49.902197,2.526477,49.930679
80213,80,Cottenchy,2.383494128205129,49.809911687179465,195,80440,2.344834,49.800751,2.394988,49.82488
80214,80,Coullemelle,2.4241066932515323,49.66776387730061,163,80250,2.417721,49.662802,2.432736,49.680783
80215,80,Coulonvillers,2.0111900546875003,50.14714282812498,128,80135,2.001798,50.136272,2.028043,50.165306
80216,80,Courcelette,2.746707018348624,50.057630376146776,109,80300,2.740296,50.050978,2.753877,50.060367
80217,80,Courcelles-au-Bois,2.5836576521739127,50.103717456521736,46,80560,2.579835,50.101119,2.586375,50.105478
80218,80,Courcelles-sous-Moyencourt,2.0452547684210525,49.81204138947368,95,80290,2.026538,49.801904,2.054738,49.818006
80219,80,Courcelles-sous-Thoix,2.0774880000000007,49.721438838709695,62,80160,2.072148,49.719351,2.083338,49.725948
80220,80,Courtemanche,2.5412232459016377,49.66177986885245,61,80500,2.536755,49.660178,2.553633,49.664497
80221,80,Cramont,2.0521105159235677,50.14811749044583,314,80370,2.019478,50.140046,2.062245,50.158638
80222,80,Crécy-en-Ponthieu,1.8788437235872237,50.24893764496314,814,80150,1.790356,50.21784,1.905353,50.26531
80223,80,Crémery,2.823030440677965,49.7415799661017,59,80700,2.820629,49.740221,2.825278,49.743152
80224,80,Cressy-Omencourt,2.908694229729729,49.71981648648649,74,80190,2.892888,49.705476,2.915984,49.724856
80225,80,Creuse,2.165320048780487,49.83937187804881,82,80480,2.161759,49.836843,2.170999,49.845629
80226,80,Croix-Moligneaux,3.0032036730769214,49.814456019230754,156,80400,2.997508,49.809242,3.009755,49.823206
80227,80,Croixrault,1.9906480884615383,49.79199595384614,260,80290,1.962928,49.778411,1.999617,49.809625
80228,80,Le Crotoy,1.6220399731515946,50.22461332424632,2421,80550,1.595808,50.2139,1.64829,50.269705
80229,80,Crouy-Saint-Pierre,2.0958088814432987,49.96479218556702,194,80310,2.069639,49.947704,2.125192,49.976546
80230,80,Curchy,2.8651538273809525,49.777876226190486,168,80190,2.854273,49.766176,2.879833,49.791536
80231,80,Curlu,2.8159440107526885,49.96449379569892,93,80360,2.803659,49.960193,2.828626,49.975329
80232,80,Damery,2.7419563760000014,49.731420056000005,125,80700,2.737112,49.728576,2.749739,49.734465
80233,80,Dancourt-Popincourt,2.733426451127821,49.664115451127806,133,80700,2.72962,49.660073,2.74007,49.670048
80234,80,Daours,2.447857746835444,49.90120378227853,395,80800,2.431761,49.89488,2.458484,49.907702
80235,80,Dargnies,1.526460867243866,50.0417051197691,693,80570,1.516134,50.03684,1.536963,50.046751
80236,80,Davenescourt,2.5965408148148135,49.70910036419751,324,80500,2.589802,49.701606,2.606122,49.7157
80237,80,Démuin,2.5378074313725496,49.81975978039219,255,80110,2.531454,49.816012,2.550554,49.824511
80238,80,Dernancourt,2.633500038314177,49.975522291187744,261,80300,2.626426,49.970633,2.641006,49.985855
80239,80,Devise,3.0050761707317073,49.85725443902439,41,80200,2.997376,49.855336,3.00942,49.859167
80240,80,Doingt,2.953411989583334,49.92531197786457,768,80200,2.93919,49.91214,2.973623,49.934268
80241,80,Domart-en-Ponthieu,2.1255139570093466,50.07464955514021,535,80620,2.083057,50.058609,2.139353,50.088289
80242,80,Domart-sur-la-Luce,2.4823286581196573,49.82130792735042,234,80110,2.470997,49.813836,2.501096,49.831725
80243,80,Domesmont,2.1473633555555556,50.121124377777775,45,80370,2.14547,50.119717,2.148796,50.122407
80244,80,Dominois,1.8461228222222232,50.33046924444443,135,80120,1.822955,50.324913,1.874039,50.33814
80245,80,Domléger-Longvillers,2.088385158227849,50.15148781012658,158,80370,2.08175,50.139048,2.09847,50.16562
80246,80,Dommartin,2.390606314285714,49.79974963428571,175,80440,2.385946,49.795483,2.396332,49.804503
80247,80,Dompierre-Becquincourt,2.8035951338797815,49.90741838251368,366,80980,2.78627,49.902079,2.819625,49.91207
80248,80,Dompierre-sur-Authie,1.916204434504792,50.29510570926513,313,80150,1.88739,50.264941,1.951557,50.316698
80249,80,Domqueur,2.0454940761589406,50.114247036423876,302,80620,2.027946,50.098575,2.054097,50.1188
80250,80,Domvast,1.9193609612903229,50.19939449677419,155,80150,1.897289,50.186159,1.924687,50.213431
80251,80,Doudelainville,1.7697624999999988,50.00288617105265,152,80140,1.759395,49.998072,1.778789,50.008784
80252,80,Douilly,3.063654464516129,49.79380778709677,155,80400,3.052574,49.78786,3.081281,49.796011
80253,80,Doullens,2.3429813352855104,50.15784536713019,2732,80600,2.301064,50.110111,2.396192,50.189955
80256,80,Dreuil-lès-Amiens,2.231087876543212,49.913904459876555,648,80470,2.219185,49.91037,2.241171,49.918955
80258,80,Driencourt,3.0097639718309854,49.958329478873246,71,80240,3.007248,49.956041,3.019058,49.960153
80259,80,Dromesnil,1.8684912142857135,49.88018427380952,84,80640,1.864185,49.878064,1.874516,49.883032
80260,80,Drucat,1.865348157777778,50.14830213111111,450,80132,1.849304,50.13703,1.878893,50.161917
80261,80,Dury,2.268737426540284,49.84960212954192,633,80480,2.257456,49.841567,2.300511,49.875203
80262,80,Eaucourt-sur-Somme,1.885336083333333,50.06423796874998,192,80580,1.879887,50.056224,1.889977,50.071683
80263,80,L'Échelle-Saint-Aurin,2.7174546500000005,49.694211149999994,40,80700,2.708785,49.690037,2.730564,49.698121
80264,80,Éclusier-Vaux,2.79022878125,49.94309057291665,96,80340,2.784747,49.932648,2.794416,49.960281
80265,80,Embreville,1.542705172077922,50.02874073051947,308,80570,1.536939,50.02155,1.549717,50.032774
80266,80,Englebelmer,2.608965109589041,50.06047792465751,146,80300,2.603823,50.056348,2.614741,50.0642
80267,80,Ennemain,2.965671606060605,49.846440424242445,132,80200,2.958616,49.840986,2.970749,49.849008
